1,21,742,387,740,387,754,22,756,Hotline: 02471066866 Website: vinmart.com,OTHER
2,67,717,343,715,343,732,68,734,CÂM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI,OTHER
3,21,672,395,670,395,687,22,689,Tax invoice will be issued within same day,OTHER
4,88,650,322,650,322,664,88,664,Chi xuất hóa đơn trong ngày,OTHER
5,247,584,392,584,392,597,247,597,00435800100133341,OTHER
6,23,584,138,584,138,598,23,598,Số tham chiếu,OTHER
7,25,562,234,562,234,576,25,576,Tích điểm đặc quyền blue,OTHER
8,381,560,393,560,393,576,381,576,9,OTHER
9,27,541,203,541,203,554,27,554,TiCH(1.000VND.1 đ),OTHER
10,197,540,240,540,240,554,197,554,điêm),OTHER
11,374,540,385,540,385,554,374,554,1,OTHER
12,26,517,173,518,173,535,25,534,ID thẻ khách háng,OTHER
13,252,519,389,517,389,531,253,533,XXXXXXXXXXXXXXI237,OTHER
14,267,477,317,477,317,488,267,488,KẾ GTGT),OTHER
15,96,474,272,474,272,492,96,492,(Giá đã bao gồm thuế,OTHER
16,26,453,131,453,131,470,26,470,TIẾN TRÀ LẠI,OTHER
17,380,453,391,453,391,468,380,468,o,OTHER
18,33,433,104,433,104,447,33,447,TIÊN MẶT,OTHER
19,337,432,389,432,389,446,337,446,40.000,OTHER
20,338,413,388,413,388,424,338,424,40.000,OTHER
21,27,412,147,412,147,426,27,426,TIẾN KHÁCH TRÃ,OTHER
22,28,391,162,391,162,404,28,404,TỔNG TIẾN Ã GIẢM,OTHER
23,370,391,382,391,382,405,370,405,0,OTHER
24,390,370,389,384,336,383,336,369,40.000,TOTAL_COST
25,216,362,215,386,20,383,20,360,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
26,334,328,386,328,386,342,334,342,9.000,OTHER
27,25,326,96,328,96,342,24,340,KM Masan,OTHER
28,197,308,241,308,241,322,197,322,4.000,OTHER
29,334,307,385,307,385,321,334,321,40.000,OTHER
30,275,305,294,307,292,325,272,322,10,OTHER
31,26,306,138,307,138,321,25,320,8936136160894,OTHER
32,162,285,309,287,309,303,161,301,Tôm chua cay 90gr,OTHER
33,27,285,167,287,167,300,26,298,Mi Kokom 1 1000,OTHER
34,326,264,378,264,378,282,326,282,T. Trần,OTHER
35,266,265,284,265,284,283,266,283,SL,OTHER
36,181,264,233,264,233,283,181,283,dn giá,OTHER
37,26,263,97,263,97,281,26,281,Mặt hàng,OTHER
38,273,225,382,224,383,238,273,239,NVIN 00020458,OTHER
39,27,225,94,223,94,237,28,239,Quây 001,OTHER
40,291,205,374,205,374,219,291,219,01:00133341,OTHER
41,243,205,243,222,24,219,24,202,Ngày bán: 13/08/2020 22:06,TIMESTAMP
42,138,181,265,183,265,200,138,198,HOA DN BÁN HĂNG,OTHER
43,209,146,309,146,309,160,209,160,024 71011188 4358,OTHER
44,329,122,329,140,192,138,192,120,TP. Cẩm Phả, Quảng Ninh,ADDRESS
45,145,114,145,144,26,142,27,112,VinCommerce,SELLER
46,341,97,341,119,177,117,177,95,Số 590 Trần Phú, P.Cẩm Thuỷ,ADDRESS
47,323,76,322,95,198,93,198,74,Số 590 Trần Phú, P.Cẩm Thuỷ,ADDRESS
