1,78,742,412,738,413,759,78,762,Xin cám ơn và hẹn gắp lại quý khách,OTHER
2,190,714,315,710,316,731,191,736,Thu ngân: BHS,OTHER
3,281,676,473,676,473,704,281,704,Ngày: 16/08/2020 - 15:17,TIMESTAMP
4,21,634,227,633,227,654,21,655,Giá trị thưởng tích lũy:,OTHER
5,426,633,474,633,474,652,426,652,2,973,OTHER
6,22,604,164,601,164,623,23,625,Hạng hiện thời:,OTHER
7,415,570,471,570,471,588,415,588,18,594,OTHER
8,23,568,164,568,164,588,23,588,Điểm hiện thời:,OTHER
9,25,539,124,539,124,556,25,556,Điêm mua:,OTHER
10,451,537,471,537,471,556,451,556,15,OTHER
11,30,505,193,505,193,525,30,525,(0) dương thị thúy,OTHER
12,32,476,248,476,248,490,32,490,Mã thẻ: A10000000013,OTHER
13,410,428,468,428,468,445,410,445,50,000,OTHER
14,242,428,283,426,284,445,243,448,VND,OTHER
15,29,427,214,427,214,441,29,441,Tiển khách trả từ TK:,OTHER
16,399,400,467,399,467,417,400,418,100,000,OTHER
17,238,401,278,398,279,417,239,419,VND,OTHER
18,29,398,163,397,163,414,29,415,Tiển khách trả:,OTHER
19,30,370,122,372,121,391,29,388,Tổng tiển,OTHER
20,401,390,396,368,468,367,467,390,150,000,TOTAL_COST
21,33,334,132,337,131,355,32,352,Tổng cộng,OTHER
22,398,334,463,332,463,349,399,351,150,000,OTHER
23,160,311,183,311,183,329,160,329,30,OTHER
24,33,305,107,308,106,329,32,326,Tổng số,OTHER
25,296,274,342,272,343,290,297,292,5,000,OTHER
26,192,274,224,274,224,288,192,288,GOI,OTHER
27,393,273,458,271,458,288,394,290,150,000,OTHER
28,134,273,157,273,157,288,134,288,30,OTHER
29,41,270,113,272,112,289,40,287,Giá bán,OTHER
30,299,249,344,249,344,264,299,264,5,500,OTHER
31,42,242,147,247,146,264,41,259,Giá đăng ký,OTHER
32,44,217,300,221,300,238,43,234,291007070000 Phở vifon bỏ NT,OTHER
33,143,156,371,161,371,186,143,180,HÓA ĐƠN BÁN HÀNG,OTHER
34,35,117,66,117,66,133,35,133,Tel:,OTHER
35,148,96,362,96,362,118,148,118,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
36,171,66,342,66,342,88,171,88,MINIMART ANAN,SELLER
