1,67,808,360,806,360,824,67,826,Xin cám ơn và hen gắp lại quý khách l,OTHER
2,167,781,278,781,278,802,167,802,Thu ngân: BH4,OTHER
3,246,747,414,747,414,770,246,770,Ngày: 12/08/2020 - 16:13,TIMESTAMP
4,372,711,416,711,416,729,372,729,5,123,OTHER
5,18,706,198,709,198,729,18,727,Giá trị thưởng tích lũy,OTHER
6,21,681,143,681,143,698,21,698,Hạng hiện thời:,OTHER
7,370,653,415,655,414,674,369,671,8,567,OTHER
8,22,648,143,651,143,669,21,666,Điểm hiện thơi:,OTHER
9,396,627,414,627,414,645,396,645,14,OTHER
10,23,623,109,625,109,640,23,638,Điêm mua,OTHER
11,27,593,131,595,131,613,27,610,(O) trang hợp,OTHER
12,27,568,218,569,218,583,27,582,Mã thể 10000000335,OTHER
13,353,529,413,532,412,549,352,547,143,000,OTHER
14,209,528,244,528,244,546,209,546,VND,OTHER
15,25,525,142,525,142,539,25,539,Tiến khách trá:,OTHER
16,413,504,414,522,351,519,352,504,143.000,TOTAL_COST
17,24,497,109,497,109,518,24,518,Tổng tiền,TOTAL_COST
18,351,472,410,472,410,486,351,486,143,000,OTHER
19,27,465,115,469,114,486,26,482,Tổng công,OTHER
20,139,448,161,448,161,464,139,464,13,OTHER
21,28,441,93,443,92,461,27,459,Tổng số,OTHER
22,357,417,407,417,407,432,357,432,12,000,OTHER
23,255,416,302,416,302,431,255,431,12,000,OTHER
24,166,413,197,413,197,428,166,428,CAI,OTHER
25,127,413,139,413,139,428,127,428,1,OTHER
26,36,384,401,390,400,411,35,404,8936078570157 bánh mi sandwich bảo ngọc 2 NO,OTHER
27,355,366,405,366,405,380,355,380,85,000,OTHER
28,253,364,302,364,302,379,253,379,85,000,OTHER
29,169,359,199,362,198,377,168,375,CHA,OTHER
30,40,333,338,341,338,358,39,351,8935030218798 ST OR 550ml các loại nt,OTHER
31,354,314,406,314,406,331,354,331,42,000,OTHER
32,262,314,303,314,303,329,262,329,4,200,OTHER
33,119,312,141,312,141,324,119,324,IN,OTHER
34,170,308,200,311,199,327,168,324,ca,OTHER
35,42,308,117,310,117,325,41,322,Giá bán,OTHER
36,262,290,304,290,304,305,262,305,4,500,OTHER
37,44,286,130,289,130,303,43,300,Giá đăng ký,OTHER
38,173,243,200,243,200,254,173,254,GIA,OTHER
39,362,241,404,241,404,256,362,256,4,000,OTHER
40,262,241,302,241,302,256,262,256,4.000,OTHER
41,50,222,303,217,304,231,51,237,091006530000 Nước Lave 500,OTHER
42,56,197,123,199,123,214,55,212,Tan hàng,OTHER
43,145,196,216,194,216,209,146,211,SL ĐVT,OTHER
44,239,194,299,196,298,210,239,208,Đơn gia,OTHER
45,314,193,392,191,393,205,314,207,Thanh tiển,OTHER
46,131,167,327,163,327,183,131,187,HÓA ĐƠN RĂM HÀNG,OTHER
47,41,137,65,137,65,150,41,150,Tel,OTHER
48,126,100,323,100,323,126,126,126,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
49,143,67,306,67,306,99,143,99,MINIMART ANAN,SELLER
