1,23,1080,301,1100,299,1121,21,1101,Dien su dung trang trong cho the the the the the the the the the the the the the the the the the the the the the the the the the ,OTHER
2,322,1068,357,1071,355,1095,319,1091,130,OTHER
3,28,1051,165,1064,163,1084,26,1071,Diem dai ngà),OTHER
4,29,1023,368,1041,366,1066,28,1048,LO TRONG THÀNH THỊ HUYỀN,OTHER
5,153,1003,252,1010,251,1029,152,1022,000272077,OTHER
6,35,1000,103,1004,102,1020,34,1016,Nesses,OTHER
7,63,971,337,987,336,1008,62,992,THIN NHAU THAN THAN THIETL,OTHER
8,337,959,421,959,421,980,337,980,2,254150,OTHER
9,63,945,236,953,235,974,62,966,Nguyen Thuong Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu Thu,OTHER
10,338,930,421,930,421,952,338,952,1,952,OTHER
11,75,920,239,926,238,947,74,941,Santhueroness,OTHER
12,330,902,420,902,420,923,330,923,55,300000,OTHER
13,88,899,108,899,108,914,88,914,Ist,OTHER
14,100,869,253,874,253,895,100,891,thuc thanh toan:,OTHER
15,377,825,392,825,392,844,377,844,s,OTHER
16,85,821,260,825,260,843,85,839,Tong so luong hang:,OTHER
17,424,789,424,820,327,820,327,789,55,300.00,TOTAL_COST
18,266,791,269,818,37,827,36,791,Tong so tien thanh toan:,TOTAL_COST
19,52,752,132,749,133,767,53,769,Orengoes,OTHER
20,283,748,360,744,362,765,284,770,7,100.00,OTHER
21,117,728,130,728,130,738,117,738,1,OTHER
22,32,729,94,723,95,740,34,746,NATION,OTHER
23,341,722,420,722,420,743,341,743,5,800000,OTHER
24,197,722,274,719,275,742,198,745,5,800.00,OTHER
25,31,702,171,696,172,713,32,720,00004880030300,OTHER
26,179,695,410,696,410,717,179,716,Chao Vifon vi gai co thit,OTHER
27,31,678,93,675,94,691,32,694,untoss,OTHER
28,332,672,417,672,417,690,332,690,20,300.00,OTHER
29,190,671,274,671,274,689,190,689,23,300.00,OTHER
30,30,651,172,647,173,665,31,669,08936059520072,OTHER
31,168,644,335,646,334,668,168,665,Nam huong 3010s,OTHER
32,32,628,90,628,90,641,32,641,VATLOZ,OTHER
33,118,628,130,628,130,641,118,641,e,OTHER
34,332,622,417,622,417,639,332,639,19,000000,OTHER
35,199,622,272,622,272,639,199,639,7,500000,OTHER
36,283,599,314,599,314,613,283,613,Huy,OTHER
37,27,597,278,595,279,617,27,618,08930509197056 Bun khuong,OTHER
38,321,594,362,597,360,616,319,612,500s,OTHER
39,101,572,152,572,152,589,101,589,0.150,OTHER
40,165,572,189,572,189,588,165,588,KO,OTHER
41,189,545,276,542,276,563,190,566,48,000.00,OTHER
42,25,547,88,544,89,563,26,566,VATO57,OTHER
43,341,544,422,541,422,563,342,566,72200000,OTHER
44,27,519,362,520,362,538,27,537,0000000095014451000000,OTHER
45,21,464,422,465,422,488,21,486,Nhan vien 1 Tai Binh Thi Bich Nga 10 1981,OTHER
46,165,432,430,432,430,461,165,461,Ngay : 20/09/2019 15 : 02 : 49,TIMESTAMP
47,165,432,430,432,430,461,165,461,Ngay : 20/09/2019 15 : 02 : 49,TIMESTAMP
48,22,435,107,438,107,461,22,458,Quay 100,OTHER
49,21,379,416,387,416,410,21,402,Cong gia tran nuat Hoa don cuong ngay,OTHER
50,287,360,383,360,383,377,287,377,DITIEN,OTHER
51,209,360,288,360,288,373,209,373,TINM,OTHER
52,85,353,186,356,186,374,85,371,PHIEU,OTHER
53,84,298,398,307,397,324,84,315,Hebaiter unorsaigoncomop.com vin,OTHER
54,94,269,387,278,386,295,93,286,Emanderetthekparkscoopfoods,OTHER
55,71,235,399,248,398,273,70,260,Nghi thu nhi trong trong thu nguy,OTHER
56,102,206,379,219,377,244,101,230,030000001201,OTHER
57,16,178,430,191,429,214,16,201,Nhi trong thu nha nha nha chu nha thu tranh,OTHER
58,24,146,424,162,423,186,23,171,Nguyên thi trong tranh trung thuy thuong thuy thu tru thu trung thuyết nhưng,OTHER
59,15,112,435,133,433,162,14,141,03000000000100,OTHER
60,100,90,371,102,370,124,99,113,001000001994,OTHER
61,108,56,373,67,368,95,108,82,Co.op Food HN THE K-PARK,ADDRESS
62,176,30,303,40,302,65,175,55,trang the the thu thu,OTHER
