1,65,654,450,655,449,680,65,679,Xin cấm an và hen gập lại quý khách,OTHER
2,193,626,339,628,339,652,192,650,Thu ngân: BH3,OTHER
3,298,588,538,581,530,609,298,611,Ngày: 16/08/2020 - 16:53,TIMESTAMP
4,455,538,526,540,526,562,454,560,47,000,OTHER
5,250,536,300,536,300,562,250,562,VND,OTHER
6,2,533,151,534,150,554,2,553,Tiền khách trả:,OTHER
7,539,494,533,526,447,522,453,496,47,000,TOTAL_COST
8,-4,498,109,499,106,526,-6,528,Tổng tiền :,TOTAL_COST
9,453,454,524,456,523,478,452,476,47,000,OTHER
10,0,452,116,456,115,480,0,477,Tổng công,OTHER
11,163,429,175,429,175,447,163,447,8,OTHER
12,2,423,86,423,86,445,2,445,Tổng số,OTHER
13,318,380,372,380,372,398,318,398,5,250,OTHER
14,188,381,226,381,226,395,188,395,HOP,OTHER
15,132,382,143,380,146,395,135,398,4,OTHER
16,13,379,93,381,92,399,13,397,Giá bán,OTHER
17,444,379,514,377,515,399,445,401,21,000,OTHER
18,321,347,373,347,373,366,321,366,6,000,OTHER
19,16,346,134,348,133,366,16,363,Giá đăng ký,OTHER
20,21,317,477,314,477,334,21,337,8934673606820 Sữa chua đường VNM,OTHER
21,25,283,103,283,103,300,25,300,Giá bản,OTHER
22,194,282,231,282,231,297,194,297,HOP,OTHER
23,317,280,371,277,372,299,318,302,6,500,OTHER
24,141,282,153,282,153,298,141,298,4,OTHER
25,442,279,508,279,508,297,442,297,26,000,OTHER
26,29,252,144,252,144,269,29,269,Gia đăng ký,OTHER
27,318,250,373,249,373,268,318,270,7,000,OTHER
28,33,226,442,222,443,240,33,244,8934673601825 Sữa chua nha đam 100g NT,OTHER
29,146,164,403,162,403,186,147,188,HÓA ĐƠN BÁN HÀNG,OTHER
30,32,124,65,124,65,141,32,141,Tel,OTHER
31,155,97,400,97,400,122,155,122,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
32,182,65,373,67,371,88,180,90,MINIMART ANAN,SELLER
