1,75,683,380,685,380,705,75,703,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI,OTHER
2,96,608,358,611,358,631,95,628,Chỉ xuất hóa đơn trong ngày,OTHER
3,107,536,357,536,357,556,107,556,(Giá đã bao gồm thuế gigt),OTHER
4,428,517,441,517,441,533,428,533,0,OTHER
5,24,513,146,510,146,530,25,533,TIẾN TRÃ LẠI,OTHER
6,379,491,440,491,440,508,379,508,12.500,OTHER
7,35,490,115,490,115,506,35,506,TIỀN MẶT,OTHER
8,380,464,439,466,438,484,379,481,12.500,OTHER
9,26,465,164,462,164,479,27,482,TIẾN KHÁCH TRẢ,OTHER
10,418,442,431,442,431,458,418,458,o,OTHER
11,27,438,183,437,183,455,27,456,TỔNG TIẾN Ả GIẢM,OTHER
12,443,408,443,438,377,438,377,408,12,500,TOTAL_COST
13,236,404,236,435,25,435,25,404,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
14,378,367,439,367,439,384,378,384,12.500,OTHER
15,214,367,270,367,270,384,214,384,12.500,OTHER
16,26,368,154,368,154,382,26,382,8936011775403,OTHER
17,317,367,330,367,330,383,317,383,1,OTHER
18,25,342,244,343,244,361,25,359,Kem que yeah cacao T42,OTHER
19,204,319,262,319,262,337,204,337,dn giá,OTHER
20,370,318,430,318,430,336,370,336,L. Tiến,OTHER
21,299,319,321,319,321,337,299,337,SL,OTHER
22,26,315,107,318,107,336,25,333,Mặt hàng,OTHER
23,308,273,437,269,438,286,308,290,NVBH:09025438,OTHER
24,27,268,106,270,106,287,26,285,Quầy: 001,OTHER
25,328,247,429,245,429,262,329,264,0100032773,OTHER
26,24,237,278,237,278,265,24,265,Ngày bán: 14/08/2020 14:54,TIMESTAMP
27,155,221,299,224,299,241,155,238,HÓA DN BÁN HÀNG,OTHER
28,236,177,353,175,353,192,236,194,02471066866-51561,OTHER
29,396,141,396,168,196,168,196,141,TP. Cẩm Bình, TP. Cẩm Phả, QNH,ADDRESS
30,158,134,158,173,25,173,25,134,VinCommerce,SELLER
31,365,119,365,138,220,138,220,119,Tổ 7 , Khu Minh Tiến A,ADDRESS
32,397,91,397,114,196,114,196,91,VMN QNH Tổ 7, Khu Minh Tiến A,ADDRESS
