1,48,880,323,883,323,900,48,897,Xin cám ơn và hẹn gặp lại quý khách I,OTHER
2,140,858,245,860,244,879,140,876,Thu ngân: BH3,OTHER
3,214,828,375,828,375,849,214,849,Ngày: 11/08/2020 - 21:29,TIMESTAMP
4,332,792,374,792,374,808,332,808,9,:85,OTHER
5,6,788,169,792,169,809,6,806,Giá trị thướng tích lũy:,OTHER
6,7,765,117,764,117,779,7,780,Hạng hiện thời:,OTHER
7,329,737,372,737,372,755,329,755,2,006,OTHER
8,3,736,117,737,117,754,3,753,Điểm hiện thởi:,OTHER
9,7,713,83,713,83,725,7,725,Điêm mua:,OTHER
10,352,709,371,709,371,728,352,728,17,OTHER
11,8,684,162,684,162,701,8,701,(0) nguyễn thị hương,OTHER
12,8,659,185,658,185,672,8,673,Mã thể: A10000000614,OTHER
13,308,619,366,621,365,637,307,634,324,000,OTHER
14,129,621,141,621,141,629,129,629,1,OTHER
15,7,619,110,617,110,632,7,634,tiến trả lại VND,OTHER
16,309,593,365,593,365,607,309,607,500,000,OTHER
17,173,590,209,593,208,608,172,606,VND,OTHER
18,5,592,122,592,122,605,5,605,Tiển khách trả:,OTHER
19,309,569,365,569,365,584,309,584,176,000,TOTAL_COST
20,3,566,78,566,78,586,3,586,Tổng tiền,TOTAL_COST
21,138,540,151,540,151,553,138,553,c,OTHER
22,9,539,92,539,92,553,9,553,Tổng công,OTHER
23,308,536,363,536,363,553,308,553,176,000,OTHER
24,107,519,129,519,129,531,107,531,13,OTHER
25,12,517,68,517,68,531,12,531,Tổng số,OTHER
26,81,488,135,488,135,503,81,503,CAR,OTHER
27,309,486,357,486,357,501,309,501,35,000,OTHER
28,213,486,261,483,262,500,214,503,35-000,OTHER
29,134,484,161,484,161,500,134,500,TUI,OTHER
30,16,465,245,465,245,478,16,478,8936065591738 bánh sobi yuki NT,OTHER
31,17,441,79,441,79,452,17,452,Giá bán,OTHER
32,224,419,268,419,268,430,224,430,6,000,OTHER
33,16,415,116,417,116,431,16,430,Giá đăng ký,OTHER
34,15,394,330,395,330,409,15,408,8934673606820 Sửa chua đường VT,OTHER
35,206,372,259,372,259,383,206,383,10.000,OTHER
36,287,371,352,368,353,382,288,385,10,000,OTHER
37,102,371,161,371,161,382,102,382,1900,OTHER
38,14,346,307,347,307,364,14,363,8935001712527 keo Alpenliebe gói 1209 NT,OTHER
39,215,324,302,324,302,337,215,337,13,000,OTHER
40,307,324,350,324,350,335,307,335,13,000,OTHER
41,136,322,162,322,162,334,136,334,GOI,OTHER
42,11,298,285,301,285,315,11,312,8996001320136 keo kopiko đen 1509 NT,OTHER
43,306,276,353,276,353,290,306,290,53,000,OTHER
44,214,276,257,276,257,290,214,290,53,000,OTHER
45,136,271,164,274,162,288,134,285,CHA,OTHER
46,101,275,110,275,110,285,101,285,n,OTHER
47,18,232,42,232,42,244,18,244,0,OTHER
48,304,228,351,228,351,242,304,242,23,000,OTHER
49,212,228,258,228,258,243,212,243,23.000,OTHER
50,134,224,163,226,161,242,132,239,GOI,OTHER
51,98,225,111,225,111,238,98,238,1,OTHER
52,13,200,311,205,311,222,13,217,8936013252117 Nước tấy toilet Gif 700mi NT,OTHER
53,104,178,343,181,342,199,104,196,SL ĐVT Đơn giá Thanh tiên,OTHER
54,20,174,86,179,85,194,19,189,Tổn hang,OTHER
55,92,150,281,154,281,174,91,170,HÓA ĐƠN BÁN HÀNG,OTHER
56,9,114,28,114,28,127,9,127,el,OTHER
57,274,95,275,110,96,109,96,91,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
58,109,63,262,63,262,88,109,88,MINIMART ANAN,SELLER
